reference_id,authors_year,year,venue,doi,country_institution,class_id,relevance_score,qa_total,vio_architecture,fusion_method,visual_frontend,features_representation,imu_preintegration,adaptive_online,uav_platform,benchmark_dataset,evaluation_metrics,challenging_conditions,key_contribution,limitations_stated,relevant_rqs,reviewer_notes,aux_sensors,aux_measurement_models,aux_fusion_weight,aux_evidence,height_channel,height_channel_weighting,frontend_type,point_features,frontend_evidence,per_keypoint_quality_scoring,quality_scoring_evidence,limitation_codes,limitation_evidence,recode_notes
P0108,Fanin et al. (2019),2019,"2019 International Workshop on Research, Education and Development on Unmanned Aerial Systems, RED-UAS 2019",10.1109/reduas47371.2019.8999672,"Cranfield University, UK",C7,3,3.0,Loosely coupled / Filter-based,EKF,Monocular,Optical flow,No,No,UAV (type unspecified),Willow Garage model,RMSE,GNSS-denied,The principal novelty is the use of dense Optical Flow measurements to estimate the velocity of the UAV. This novel approach of utilising a velocity measurement in the correction step of a Kalman Filter allows for discretization errors to be corrected at all levels of the kinodynamics.,"The next step for this work would be to implement this VINS in an on-board computer for a UAV, such as an ODroid UX4. This step would also involve implementing the sparse optical flow following the system design presented in other works.",RQ4,,none,n/a,n/a,"""the only two sensors needed are an IMU and a digital camera""; EKF fed ""orientation, position and velocity measurement taken from the ground truth with artificially added noise""",no,n/a,dense,no,"""The optical flow algorithm utilised is the Farneback method""; ""the use of dense Optical Flow measurements to estimate the velocity of the UAV""",no,n/a,L2,"""The smooth walls of the Willow Garage model failed to create useable Optical Flow patterns""","Simulation only (Gazebo, six simulated cameras). In the VINS filter test the orientation, position and velocity measurements were simulated from ground truth with noise rather than computed from optical flow; the dense-flow velocity estimator was validated separately (Monte Carlo and a webcam test). The sparse-OF feature-based VINS was not implemented."
P0124,Lee et al. (2020),2020,Sensors (Switzerland),10.3390/s20082209,"Georgia Institute of Technology, USA",C7,3,4.0,Tightly coupled / Filter-based,EKF,Stereo,Not stated,No,Yes - Estimation of unknown time delays using state augmentation,Micro aerial vehicle,EuRoC MAV datasets,RMS; absolute trajectory error,GNSS-denied; Fast motion,"This paper proposes a novel approach, 'latency compensated filtering', which includes parameter estimation into feature initialization and state estimation to compensate for unknown time delays in VIO systems.",-,RQ4,,none,n/a,n/a,"""IMU data and images from the stereo camera are also subscribed under the ROS"" (EuRoC); no other sensor is fused",no,n/a,not stated,yes,"""measurement yj is the j-th feature 2D location on the image plane""; ""only tracked features are used for the update"" (detector/tracker not named)",no,n/a,L1; L3,"""the latency compensated filter might increase the computational effort of the entire system"" | ""position error gets locked in and ... will tend to grow with the length of the trajectory""","Paper notes that an altimeter or GPS could be fused during the delay period (Sec. 3.2.2) but gives no measurement model; not coded. EKF-SLAM with features in the state, stereo initialization by least squares; the feature extraction/tracking algorithm is not described. Database pruning removes the feature with the least observations or frequent outliers (capacity management, not coded as per-keypoint quality scoring); chi-squared gating. L1 is stated generally, not for embedded hardware. Dataset (EuRoC) evaluation only."
P0176,J.H et al. (2022),2022,IEEE Transactions on Robotics,10.1109/tro.2021.3139964,"Seoul National University, South Korea",C2,4,5.0,Tightly coupled / Filter-based,Iterated extended Kalman filter (EKF),Stereo,Direct/Photometric,No,No,UAV (type unspecified),VIODE; AirSim,RMSE; NEES; ATE; computation time,GNSS-denied; Low-textured environments,"A framework of photometric VIO based on iterated extended Kalman filter (EKF) is introduced, where the state space is modeled on matrix Lie groups. The key idea is to introduce an optimal intensity gradient that accounts for a projective uncertainty of a pixel.","In future work, EnVIO can include illumination parameters for robustness to illumination change environments. The estimator can be reformulated as an information filter to decrease computation time.",RQ3,,none,n/a,n/a,"Sec. IV-A: ""Given three-axis angular rates, specific force measurements, and image intensities ... our objective is to estimate the current pose""",no,n/a,direct / photometric,no,"""directly minimizes a photometric error without an explicit data-association"" (Abstract); Sec. IV-E selects the locally strongest-gradient pixel per cell of a 25x15 grid",no,n/a,L1; L2; L3,"""The computation time would be further decreased by efficiently calculating the matrix inversion for the Kalman gain"" | ""EnVIO can include illumination parameters for robustness to illumination change environments"" | ""a visual-inertial mapping module to bound error drift and build a globally consistent map""","Stereo MYNTEYE camera + IMU only; visual markers and Qualisys mocap serve ground truth only. Sparse high-gradient pixels (DSO-style) are selected, not corners/keypoints; correspondence is implicit in the photometric minimization. Per-feature NCC threshold for marginalizing lost features and an SSD-ratio check at stereo initialization are gating checks rather than quality weighting (coded no; borderline). L1 refers to laptop CPU time, not embedded hardware; L2 refers to illumination change."
P0178,Pritzl et al. (2026),2026,IEEE Access,10.1109/access.2026.3666998,"Czech Technical University in Prague, Czech Republic",C1,3,4.5,Loosely coupled,Sliding window; Kalman Filter,Monocular,Not stated,Not stated,No,Micro aerial vehicle,KITTI; DARPA Subterranean Challenge,3D Absolute Trajectory Error (ATE); 2D Absolute Trajectory Error (ATE); RMSE,GNSS-denied; Low-light,"The key contribution of our work is to fuse the complementary strengths of LiDAR (accuracy, robustness to environmental conditions) and cameras (low weight, size, cost, and power demand) in a single heterogeneous UAV team. Such a setup provides accurate localization between the UAVs and enables precise guidance of the secondary UAV with drifting VIO.",-,RQ2,,LiDAR 3D,"other (3-D position of the secondary UAV detected in the primary UAV's LiDAR-SLAM frame, aligned with VIO poses)",fixed,"Sec. II-B2: 'measurement covariance matrices depend on the detection variance sigma_d^2, relative heading variance ..., VIO relative vector variance' (constants tuned in simulation); NLS uses soft-L1 loss (Eq. 5)",no,n/a,consumed pose stream,no,Sec. III-B1: 'the secondary UAV utilizes the VINS-Mono algorithm [55] with disabled loop closure detection'; OpenVINS and RealSense T265 also used as VIO sources,no,n/a,L3;L2,"In both cases, the VIO output exhibited significant drift, mainly in the direction of the z-axis | the amount of drift can change with texture in the scene, illumination, propeller-induced vibrations picked up by the IMU","Fusion is loosely coupled on the primary UAV (sliding-window NLS alignment + LKF with recalculating history buffer), not inside the VIO. Gating elements: NLS result used only if converged with cost below threshold; relative-transform updates stop when the Fisher-information eigenvalue falls below a threshold; detections associated by Mahalanobis distance (covariances themselves fixed). RTK used for ground truth only; magnetometer mentioned only as a possible future yaw fallback. Stated operational limit: cannot recover from total VIO failure."
P0182,Hinzmann et al. (2016),2016,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10.1007/978-3-319-50835-1_51,"ETH Zurich, Switzerland",C6,1,3.5,Tightly coupled / Optimisation-based,Sliding window / Factor graph,Monocular,Lucas-Kanade tracker / Optical flow,Yes,No,Fixed-wing,Aurora SKATE datasets,RMSE,GNSS-denied,This paper presents a tightly integrated system involving hardware and software efforts to provide an accurate visual-inertial navigation system for low-altitude fixed-wing UAVs without relying on GPS or visual beacons. It introduces a sliding window based visual-inertial SLAM algorithm which provides real-time 6-DoF estimates for control.,"Future work will comprise further drift reduction by means of vanishing point detection, horizon tracking and loop closure. The accuracy of the reference trajectory needs to be enhanced, e.g. by using DGPS, to allow for a more expressive quantitative evaluation.",RQ5,,none,n/a,n/a,Sect. 4: fuses inertial measurements and visual cues into a sliding window estimator; GPS (uBlox LEA-6H) used only as reference trajectory; velocity priors added in stationary phases (Algorithm 1),no,n/a,optical-flow-tracked corners,yes,Sect. 2.5: Feature tracks are generated using a Lucas-Kanade tracker with gyroscope-based feature prediction ... feature bucketing ... two-point translation-only RANSAC outlier rejection,yes,"Sect. 2.5: We define the quality of a landmark observation by the number of observations, the minimum and maximum distance and by the angle between the incident rays; only well constrained features are used as landmarks",L3; L4,"Future work ... will comprise further drift reduction by means of vanishing point detection, horizon tracking and loop closure (Sect. 4) | flat terrain with few three-dimensional structure which makes the underlying scale estimation challenging (Sect. 3.3)","Per-keypoint coding is ambiguous: the score is a geometric well-constrainedness heuristic (observation count, distance bounds, incident-ray angle) used to select landmarks, not an appearance/response-based quality score. Corner detector not named. L4 quote is from the Results section. Authors also note the GPS reference needs DGPS for better evaluation. Fixed-wing UAV with Intel Atom onboard; runtime profiled on an i7 laptop."
P0196,Jantos et al. (2024),2024,IEEE Robotics and Automation Letters,10.1109/lra.2024.3479713,"University of Klagenfurt, Austria",C6,2,4.5,Tightly coupled / Optimisation-based / Learning-augmented,EKF,Monocular,Direct/Photometric,Not stated,No,Quadrotor,IsaacSim,RMSE; Maximum position error,GNSS-denied,"We present a real-time capable UAV system for object-relative, closed-loop navigation using a minimal sensor configuration of an IMU and RGB camera. The system utilizes a DL-based object pose estimator trained on synthetic data for object-relative localization.",Relies on the objects of interest being in the field of view of the navigation camera and thus requiring a safety system.,RQ5,,none,absolute 3-D position,hard switch,"Sec. III.E: UAV flies to start 'using a global position sensor, for example a GNSS sensor ... the global position sensor is switched off and the landmark sensor ... is switched on'",no,n/a,learned end-to-end,no,"Sec. III.C: PoET (Scaled-YOLOv4 backbone + transformer) 'detects all objects of interest and predicts the relative 6-DoF pose between the camera and the objects', fused as pose measurements in an EKF (MaRS)",no,n/a,none stated,n/a,"Not a classical VIO: camera images yield DL object-relative 6-DoF poses (fixed measurement noise 10 cm/5 deg offline, 20 cm/10 deg closed loop) fused with IMU; chi-square test per landmark is standard outlier rejection. Global position sensor in experiments is a MoCap system (GNSS named as example), coded as GNSS-class with hard switch. Stated limitations (object must stay in field of view; DL training data-intensive; future robustness at higher speed; error when pole viewed from side) match no listed code. [aux: GNSS / RTK / SBAS augmentation not counted as fused: GNSS is never fused with the visual-inertial estimate: the global position sensor ('for example a GNSS sensor') is 'switched off and the landmark sensor for obj]"
P0202,Zhang et al. (2023),2023,"International Journal of Control, Automation and Systems",10.1007/s12555-022-0210-9,"Beijing University of Technology, China",C2,3,4.0,Tightly coupled / Optimisation-based,Sliding window / Bundle adjustment,Monocular,Shi-Tomasi / KLT / EDlines,Yes,No,UAV (type unspecified),Euroc; TUM-VI,RMSE; ATE; processing time,GNSS-denied; Low-light; Texture-less scenes; Fast motion,"A real-time tightly-coupled monocular VIO system using point and line interrelated features under the sliding window optimization framework. The system uses an improved EDlines based line segment extraction and coalescence algorithm, and a line-to-point tracking method to enhance localization accuracy and reduce computation cost.",-,RQ3,,none,n/a,n/a,"Sec. 3/5: cost has prior, IMU, point and line residuals only (Eq. 19)",no,n/a,point-line,yes,"""Corner features are detected by Shi-Tomasi [44] and tracked by KLT [45]. For line features, an improved EDlines line segment extraction""",no,n/a,none stated,n/a,"Outlier handling is RANSAC (fundamental matrix), Cauchy robust kernel, and line-level rejection by length threshold (Algorithm 1) - geometric filters, not per-keypoint quality scores. Lines tracked by splitting into points tracked with pyramidal LK. Evaluated on EuRoC and TUM-VI only; future work mentions Manhattan constraints and real-robot tests."
P0216,M.F et al. (2022),2022,Measurement: Journal of the International Measurement Confederation,10.1016/j.measurement.2022.111030,"Karamanoglu Mehmetbey University, Turkey",C3,2,4.5,Tightly coupled / Learning-augmented,Gaussian Process Regression (GPR),Monocular / Optical flow,Optical flow / Direct/Photometric,No,No,UAV (type unspecified),EuRoC; Gazebo,RMSE,GNSS-denied; Indoor environments; Dynamic lighting,"End-to-end architecture is designed, which performs pose estimation based on OF-Inertial-Visual features. UAV pose estimation is performed with a new strategy called Visual-Inertial Image-Odometry (VIIONet). Conversion of IMU data to the image, enabled popular CNN models to be used in inertial-based pose estimations.",-,"RQ3, RQ2",,none,n/a,n/a,Sec. 7: 'it contains only one monocular camera and one IMU sensor'; magnetometer/barometer mentioned only as future work,no,n/a,learned end-to-end,no,Sec. 5.2: raw frames and OF magnitude images stacked as a 3-channel input to 'fine-tuned Inception-v3'; features fused by Gaussian process regression,no,n/a,L1,Sec. 7: 'a delay of 100 ms limits a real-time application for a system with a high-frequency camera and IMU',"L1 refers to inference latency on a desktop GTX 1650 GPU, not embedded hardware; authors also note resizing 6x10 IMU images to 299x299 causes 'unnecessary computational costs'. Optical-flow computation method for OF images not specified. GPR models output uncertainty, not keypoint quality."
P0217,Dai et al. (2020),2020,IEEE Access,10.1109/access.2020.3000555,"Shenyang Institute of Automation, Chinese Academy of Sciences, China",C1,2,4.0,Tightly coupled / Optimisation-based,Factor graph / Sliding window,Monocular,ORB,Yes,Yes - Fault detection and re-initialization when odometry faults are detected,UAV (type unspecified),Not stated,RMSE,GNSS-denied; Weak GPS signals; Scale drift; In-air re-initialization,A scale insensitive multi-sensor fusion framework based on graph optimization that achieves locally accurate and globally drift-free state estimations. It includes a scale insensitive initialization for VO input and a fault detection module to enhance robustness.,-,RQ2,,GNSS/GPS/RTK/SBAS; barometer; magnetometer,absolute 3-D position; absolute altitude (pressure); heading (attitude factor from IMU+magnetometer complementary filter with a yaw-bias state),adaptive: receiver-reported covariance (satellite count) + hard switch on covariance threshold and its derivative (good/bad status); not stated; not stated,'The covariance is related to the number of satellites... The GPS factor is only fused when it is in a good status' (Sec. IV-B.2); barometer factor Eq. (15); attitude factor Eq. (16),yes,not stated,consumed pose stream,no,'VIO fuses IMU and camera measurements using the existing algorithm VINS-Mono'; 'VO is chosen as the output of ORB-SLAM' (Sec. III),no,n/a,none stated,n/a,"Chi-square fault detection restarts VO/VIO (hard switch on the odometry channel). LiDAR, sonar and optical-flow sensors are mentioned only as potential inputs. Barometer and attitude factor covariances are not given. Loop-closure trajectory used as accuracy reference."
P0228,Henawy et al. (2021),2021,IEEE Transactions on Industrial Electronics,10.1109/tie.2020.3000097,"Institute for Infocomm Research, A-STAR, Singapore",C4,2,4.5,Tightly coupled / Optimisation-based,Factor graph,Monocular,Not stated,Yes,No,Quadrotor,EuRoc dataset,RMSE,High-speed motion; Dynamic objects,"The paper introduces a novel IMU motion integration model using a switched linear system, providing a closed-form solution for the IMU kinematics, covariance matrix, and Jacobian matrix. This approach improves accuracy and efficiency for online estimation of VIO, particularly in high-speed and dynamic motion scenarios.",-,RQ4,,none,n/a,n/a,"'We consider an agent which is equipped with an IMU and a monocular camera' (Sec. III); OptiTrack used as ground truth (and controller feedback), not in the VIO",no,n/a,not stated,yes,"'a front-end is supposed to provide image measurements of the 3-D landmarks'; the IMU factor is swapped into VINS-Mono 'while we kept all other factors the same' (Sec. III, VI)",no,n/a,none stated,n/a,"Front-end is VINS-Mono's, unchanged and not described; point_features=yes rests on 'image measurements of the 3-D landmarks' / structureless vision factors. A +0.02 ms IMU-factor execution time is reported but not framed as a limitation."
P0245,Sayre-Mccord et al. (2018),2018,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra.2018.8460692,"Massachusetts Institute of Technology (MIT), USA",C6,2,3.0,Tightly coupled / Optimisation-based,EKF / Factor graph,Monocular,Shi-Tomasi corners / Lucas-Kanade feature tracking,Yes,No,Micro aerial vehicle,Not stated,Estimation error per distance traveled,GNSS-denied; Flying through a window,"We present a powerful UAV system capable of high-speed agile navigation in GPS-denied environments using control closed on visual-inertial state estimation. We develop a unique virtual-reality UAV development environment, FlightGoggles, that allows us to simulate camera images photorealistically while the UAV is in flight.",-,RQ5,,none,n/a,n/a,'The VIO state estimate was continuously in the control loop without assistance from motion capture' (Sec. V); motion capture used only for ground truth and virtual image rendering,no,n/a,optical-flow-tracked corners,yes,'The feature detector... extracts Shi-Tomasi corners... we use the Lucas-Kanade feature tracking method' (Sec. IV-A),no,Only 2-pt RANSAC geometric verification; no per-feature weighting,L1; L2,"'the additional computational load on the on-board computer of image acquisition slowing down the optimization rate' | 'lower quality features in the world, motion blur of the live camera'","Also: 'Because of the computation limitations on-board the UAV, the MAP estimation back-end runs with a keyframe rate of only 3-10 Hz'. MPU-9250 IMU on the carrier board is listed in hardware; external Xsens MTi-3 is the IMU used. Absence of loop closure (take-off error not recovered) not coded as L3."
P0285,Feng et al. (2019),2019,Sensors (Switzerland),10.3390/s19102273,"Information Engineering University, China",C2,2,4.5,Tightly coupled / Optimisation-based,Nonlinear optimization / Levenberg–Marquardt method,Monocular,Direct/Photometric,Yes,Yes - Online spatial-temporal calibration without prior information,UAV (type unspecified),EuRoC dataset,Orientation error; Translation error; Temporal offset error; RMSE,GNSS-denied; Low-light; Little-texture environments,The paper proposes a novel initialization and online calibration for spatial-temporal parameters in monocular direct visual-inertial odometry without any prior information. It automatically identifies observability and convergence of the spatial-temporal parameters.,Our approach can be extended for rolling shutter calibration. We plan to extend our approach on rolling shutter cameras next.,RQ3,,none,n/a,n/a,Eq. 16: objective min {E_photo + E_imu + E_prior}; EuRoC left camera + IMU only,no,n/a,direct / photometric,no,"Sec. 2.4: 'photometric error of a point p ... w_p is the gradient-dependent weight of p ... Huber norm', same model as DSO [13]",no,n/a,none stated,n/a (conclusion mentions only extension to rolling-shutter calibration),"VO initialization extracts Shi-Tomasi features tracked by KLT (Sec. 3.1) before switching to direct sparse tracking; main estimator is direct with points hosted in keyframes. Per-pixel gradient-dependent weight w_p inherited from DSO is a pixel weight inside the photometric error, not a keypoint quality score (coded no). Spatial-temporal parameters are gated by variance thresholds before being estimated."
P0286,P.-Y et al. (2023),2023,IEEE Access,10.1109/access.2023.3279292,"National Taiwan University, Taiwan",C1,4,4.5,Tightly coupled / Learning-augmented,DNN,Monocular,Optical flow,No,Yes - learnable parameter to decide the weight of VI and UWB estimation,Micro aerial vehicle,EuRoC,RMSE,GNSS-denied,"Our method is the first deep learning method combining Vision, IMU, UWB measurements for localization. We collected the first dataset for Vision, IMU, and UWB localization. We improved the localization accuracy of VI branch and VIU-Net with loss function.",-,RQ2,,UWB ranging,range to anchor,fixed,Sec. III.B-C: UWB branch takes 'distances from the target to the anchors' (4 anchors) and regresses global translation; Eq. 3 fuses with VI via 'learnable parameter' alpha,no,n/a,learned end-to-end,no,Sec. III.A: 'we calculate the optical flow of two consecutive image frames by FlowNetSimple ... convert the optical flow to a 256-dimensional visual feature by a fully connected layer',no,n/a,none stated,n/a,"Fusion weight alpha is learned during training and constant at inference, hence 'fixed'. UWB branch outputs full 3-D position (including z) but is not a dedicated height channel; UWB on EuRoC is simulated from ground truth with Gaussian noise. SelectFusion soft fusion re-weights visual/inertial features per frame (could be viewed as frame-level modality weighting; coded no). Results note poor rotation prediction on the rotation-heavy real dataset for all methods, but no limitation is stated in the Conclusion."
P0309,Karrer et al. (2021),2021,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra48506.2021.9560944,"ETH Zurich, Switzerland",C1,3,4.0,Tightly coupled / Optimisation-based / Collaborative,EKF / Sliding window,Monocular,BRISK,No,"Yes - actively adjusting the baseline on-the-fly over a fixed, target baseline",UAV (type unspecified),Not stated,Relative odometry error; Translation error,GNSS-denied; High-altitude flights,"A novel, real-time sensor fusion framework combining monocular-inertial data from two UAVs, and relative distance measurements between them, enabling reliable pose estimation even at high altitudes. Demonstration of the advantage of actively controlling the baseline of the two-UAV stereo setup by means of a simple, high-level formation controller.",-,RQ2,,UWB ranging,range to anchor (inter-agent relative distance between the two UAVs),fixed,"Eq. 19-20: 'set of relative distance measurements with standard deviation sigma_d between the two agents', residual e_d = ||p_A - p_B|| - d_meas under Cauchy loss",no,n/a,descriptor point features,yes,Sec. III-B/C: '2D feature locations and their corresponding BRISK features [15]'; 'match the 2D keypoint descriptors in a small radius around the projection ... followed by a 3D-2D-RANSAC',no,n/a,none stated,n/a (conclusion states future work on large-scale 3D scene reconstruction only),"Quality-scoring coding is ambiguous: EKF measurement noise is inflated per map point by projected MP covariance and an octave-dependent sigma_obs (Eq. 12); this is geometric uncertainty propagation, not a visual quality score, so coded no. UWB range is between agents, no static anchor. Evaluation only in photorealistic simulation with UWB simulated as 0.1 m Gaussian noise. Active baseline controller uses median depth from a rendered depth image (simulation only)."
P0315,F.P et al. (2017),2017,"2017 International Conference on Unmanned Aircraft Systems, ICUAS 2017",10.1109/icuas.2017.7991446,"Delft University of Technology, the Netherlands",C7,3,2.5,Tightly coupled / Filter-based,EKF,Monocular,Direct/Photometric,Not stated,No / Not stated,Helicopter UAV,Georgia Tech UAV Simulation Tool (GUST),Horizontal RMS error; Horizontal final error; Average number of features; Feature correspondence computation time,GNSS-denied,"The proposed Direct Feature Correspondence (DFC) algorithm uses the minimization of the photometric error to directly determine corresponded feature measurements, eliminating the need for feature extraction during tracking.",-,RQ4,,none,n/a,n/a,"Sec. 2.1: ""IMU data is used to propagate the state, and a variety of other sensors may also be used to update the state, such as sonar or magnetometer"" (no model given)",no,n/a,semi-direct,yes,"""minimization of the photometric error on small patches around the predicted location of database points""; ""feature-extraction is only required when a new feature is initialized in the database, but not for tracking""",no,n/a,L1,"""this gain in robustness implies an increase in the time required to perform the correspondence step""","Sonar and magnetometer appear in the EKF block diagram (Update of Other Sensors) and in the GTMax hardware list (with RTK-GPS), but no measurement model is given, so not coded as fused. Map points are split by covariance (max eigenvalue of Sj vs. lambda_lim) into DFC vs. Mahalanobis correspondence and failed alignments are Mahalanobis-gated; these are covariance gates, not per-keypoint quality scores. Feature extractor not named. Results are GUST simulation; L1 cost measured on a desktop i7."
P0321,A.S et al. (2017),2017,IEEE International Conference on Intelligent Robots and Systems,10.1109/iros.2017.8206189,"ETH Zurich, Switzerland",C6,2,4.5,Tightly coupled / Optimisation-based,EKF / Bundle adjustment,Depth/ToF/RGB-D,Direct/Photometric,Yes,No,Quadrotor,ICL-NUIM RGB-D dataset; RotorS gazebo simulation platform,RMS error; processing time,GNSS-denied; Fast camera motions; Large-scale environments,"Our primary contribution is a memory management algorithm that scales to large scenes without being limited by GPU memory resources. Moreover, by integrating a visual-inertial odometry system, we robustly track the camera pose even on an agile platform such as a quadrotor UAV.",-,RQ5,,ToF or depth camera,relative pose or point cloud (point-to-plane ICP of live depth against raycast TSDF model),not stated,"Sec. IV-A: 'Camera Tracking module performs camera pose estimation using photometric, visual-inertial odometry estimates and depth data'; ICP initialized from the EKF Odometry Update (Eq. 1-2), Mahalanobis outlier rejection",no,n/a,direct / photometric; dense,yes,Sec. IV-B: 'ROVIO ... multi-level feature patches in the image are tracked for performing filter updates'; dense ICP and photometric error (Eq. 2-3) against the raycast model,no,n/a,L1;L3,"For the Onboard setup, running the original system as is doesn't achieve desired run-time efficiency | over longer sequences the system will drift in the pose","RGB-D (Kinect on hand-held rig, RealSense R200 on the UAV) is fused sequentially: EKF odometry update, then ICP/photometric refinement; no covariance weighting between odometry and depth is stated. Onboard+ mode skips ICP every few frames (speed, not a sensor trigger). Voxel reliability score R(v) (Eq. 4) applies to map voxels, not keypoints. ROVIO reported as sensitive to IMU parameters (tuned with BOBYQA). L3 quote is from the method motivation (Sec. IV-E), not a limitations section."
